timestamp_ns,timestamp_sec,relative_to_start_sec,px,py,pz,qx,qy,qz,qw,frame_id,child_frame_id,valid
1370000000,1.370000000,-34.393,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1380000000,1.380000000,-34.383,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1390000000,1.390000000,-34.373,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1400000000,1.400000000,-34.363,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1410000000,1.410000000,-34.353,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1420000000,1.420000000,-34.343,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1430000000,1.430000000,-34.333,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1440000000,1.440000000,-34.323,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1450000000,1.450000000,-34.313,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1460000000,1.460000000,-34.303,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1470000000,1.470000000,-34.293,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1480000000,1.480000000,-34.283,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1490000000,1.490000000,-34.273,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1500000000,1.500000000,-34.263,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1510000000,1.510000000,-34.253,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1520000000,1.520000000,-34.243,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1530000000,1.530000000,-34.233,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1540000000,1.540000000,-34.223,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1550000000,1.550000000,-34.213,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1560000000,1.560000000,-34.203,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1570000000,1.570000000,-34.193,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1580000000,1.580000000,-34.183,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1590000000,1.590000000,-34.173,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1600000000,1.600000000,-34.163,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1610000000,1.610000000,-34.153,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1620000000,1.620000000,-34.143,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1630000000,1.630000000,-34.133,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1640000000,1.640000000,-34.123,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1650000000,1.650000000,-34.113,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1660000000,1.660000000,-34.103,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1670000000,1.670000000,-34.093,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1680000000,1.680000000,-34.083,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1690000000,1.690000000,-34.073,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1700000000,1.700000000,-34.063,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1710000000,1.710000000,-34.053,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1720000000,1.720000000,-34.043,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1730000000,1.730000000,-34.033,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1740000000,1.740000000,-34.023,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1750000000,1.750000000,-34.013,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1760000000,1.760000000,-34.003,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1770000000,1.770000000,-33.993,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1780000000,1.780000000,-33.983,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1790000000,1.790000000,-33.973,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1800000000,1.800000000,-33.963,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1810000000,1.810000000,-33.953,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1820000000,1.820000000,-33.943,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1830000000,1.830000000,-33.933,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1840000000,1.840000000,-33.923,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1850000000,1.850000000,-33.913,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1860000000,1.860000000,-33.903,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1870000000,1.870000000,-33.893,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1880000000,1.880000000,-33.883,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1890000000,1.890000000,-33.873,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1900000000,1.900000000,-33.863,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1910000000,1.910000000,-33.853,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1920000000,1.920000000,-33.843,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1930000000,1.930000000,-33.833,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1940000000,1.940000000,-33.823,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1950000000,1.950000000,-33.813,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1960000000,1.960000000,-33.803,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1970000000,1.970000000,-33.793,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1980000000,1.980000000,-33.783,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1990000000,1.990000000,-33.773,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2000000000,2.000000000,-33.763,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2010000000,2.010000000,-33.753,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2020000000,2.020000000,-33.743,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2030000000,2.030000000,-33.733,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2040000000,2.040000000,-33.723,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2050000000,2.050000000,-33.713,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2060000000,2.060000000,-33.703,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2070000000,2.070000000,-33.693,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2080000000,2.080000000,-33.683,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2090000000,2.090000000,-33.673,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2100000000,2.100000000,-33.663,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2110000000,2.110000000,-33.653,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2120000000,2.120000000,-33.643,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2130000000,2.130000000,-33.633,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2140000000,2.140000000,-33.623,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2150000000,2.150000000,-33.613,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
2160000000,2.160000000,-33.603,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
